province,city,district,address_rest,name,image_url,opens_at,closes_at,last_order,tel,tags
서울,강남구,역삼동,831-23,라그릴리아 SPC스퀘어점,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHxF2h2WhBAJDXCIZo8u1DHDUtEQs3EfHQVw&s,9:00,22:00,21:30,02-567-9192,라그릴리아
서울,강남구,역삼동,831-24,마노디셰프 강남점,https://www.nbntv.kr/news/photo/201903/88677_79114_557.jpg,8:00,23:00,21:30,02-553-5311,이탈리안
서울,강남구,역삼동,831-25,노리타,https://d12zq4w4guyljn.cloudfront.net/750_750_20240722113616318_photo_908afb1c3621.webp,10:00,0:00,21:30,02-566-7776,이탈리안
서울,서초구,서초동,831-26,닥터로빈시그니처 서초점,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_e59809eb-bdc9-44d7-9d8f-2e7f0e47ba91/uploads/ds_40429_63886d1eb310c.jpg,9:00,1:00,21:30,02-522-3101,이탈리안
서울,강남구,역삼동,831-27,마초쉐프 강남본점,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_e59809eb-bdc9-44d7-9d8f-2e7f0e47ba91/uploads/ds_15629_1610688857kOpabKH.jpg,8:00,22:00,21:30,02-566-8886,이탈리안
서울,서초구,서초동,831-28,로리스더프라임립,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9Y6k8JY0oUtS2oBuA0t_xG6Pj7VdoBqhlTQ&s,10:00,23:00,21:30,02-590-2800,"스테이크,립"
서울,서초구,서초동,831-29,더몰트하우스 강남역점,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZn1a89NR0PzqIs0IpBueZAQjJnCDLcp6Fiw&s,9:00,0:00,21:30,02-534-5818,양식
서울,강남구,역삼동,831-30,다락마을 강남킵유어포크점,https://img1.daumcdn.net/thumb/R720x0/?fname=https://t1.daumcdn.net/liveboard/dailylife/40c42f7ec737449baadc329e78c790cb.JPG,8:00,1:00,21:30,,이탈리안
서울,강남구,역삼동,831-31,빌즈 강남,https://ugc-images.catchtable.co.kr/catchtable/shopinfo/s0KWnByoyR5n5Rz7QO06NNg/m/435a9813c7bf4197a241fc811e2acbff,10:00,22:00,21:30,02-568-1353,양식
서울,강남구,역삼동,831-32,비어룸,https://mblogthumb-phinf.pstatic.net/MjAyMjA0MTNfMTQz/MDAxNjQ5ODI1NjI0OTcx.cxVd8SWMWGaoAzCA0TSdwndOa78ieBDMfgTBMfaLpk8g.2Fa6D4mUY_2KH9zyXFyq6oYoybBNhsZ7FzwOD_BPVu8g.JPEG.moozorim/%EB%B9%84%EC%96%B4%EB%A3%B8_%282%29.jpg?type=w800,9:00,22:00,21:30,070-8955-5955,양식
서울,서초구,서초동,831-33,먼데이블루스,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQceBEBBnKb9dclvwvOCwCkqfGIgImTD0NMOg&s,8:00,23:00,21:30,02-521-0542,양식
서울,강남구,역삼동,831-34,미도인 강남,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241104_201%2F1730693923476L36A9_JPEG%2F%25B0%25AD%25B3%25B2%25B8%25C0%25C1%25FD%25B0%25AD%25B3%25B2%25BF%25AA%25B8%25C0%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25B8%25C0%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25BF%25AA%25B8%25C0%25C1%25FD%25B0%25AD%25B3%25B2%25BD%25BA%25C5%25D7%25C0%25CC%25C5%25A9%25B0%25AD%25B3%25B2%25B5%25A4%25B9%25E4%25B0%25AD%25B3%25B2%25C6%25C4%25BD%25BA%25C5%25B8%25B0%25AD%25B3%25B2%25B6%25F3%25B8%25E0%25B0%25AD%25B3%25B2%25BC%25FA%25C1%25FD%25BD%25C5%25B3%25ED%25C7%25F6%25BC%25FA%25C1%25FD%25B0%25AD%25B3%25B2%25B5%25A5%25C0%25CC%25C6%25AE%25B0%25AD%25B3%25B2%25C8%25A5%25B9%25E4_%252810%2529.jpg,10:00,0:00,21:30,02-555-1995,퓨전일식
서울,강남구,역삼동,831-35,브릭오븐,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_190%2F14410911985834lPzu_JPEG%2F166761513955607_2.jpg,9:00,1:00,21:30,,피자
서울,강남구,역삼동,831-36,스터번,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250326_197%2F1742963879239oard9_JPEG%2FKakaoTalk_Photo_2025-03-26-13-36-59-8.jpeg,8:00,22:00,21:30,070-8828-8100,"스테이크,립"
서울,강남구,역삼동,831-37,어거스트힐 강남점,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251031_291%2F17619010691453jQt9_JPEG%2FKakaoTalk_20251031_174548954.jpg,10:00,23:00,21:30,02-568-8003,양식
서울,강남구,역삼동,831-38,킴브로스피자&파스타 강남직영점,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA3MjNfMjgx%2FMDAxNzIxNzM1MzUwNTY4.LTIjy4mEeb21XmpX12NOm2BjhqGr4mvP6QixbT-lyIog.ZOxHnRpbNww0OiD7OMPyLKzJUAOealuD_bw0biDYIpYg.JPEG%2Foutput_1586671991.jpg,9:00,0:00,21:30,,이탈리안
